Significant,-log10(p-value),Difference,Gene Name,Number Of Imputations,XIC S03,XIC S03bis,XIC S04,XIC S05,XIC S06,XIC S06bis,XIC S07,XIC S07bis,XIC S08,XIC S09,XIC S10,XIC S11,XIC S11bis,XIC S12,XIC S12bis,XIC S13,XIC S14,XIC S15
,0.743445451,-0.732477725,2410002F23Rik,9,-3.009359121,-3.56775403,-3.382008314,-3.643741608,-5.431430817,-4.350681305,-3.852836609,-4.051342964,-2.285321236,-4.237399578,-4.723341942,-3.572818518,-4.157335281,-4.751263618,-5.392632484,-5.674575329,-3.329992771,-4.014873505
,0.385111843,-1.5423569,A1bg,4,0.339697838,0.312337875,3.428899765,3.02338028,3.100126266,3.346185684,-0.224300385,-0.146456718,-3.700694799,-4.286519051,3.54771328,2.80636692,2.824331284,1.744269371,1.674603462,-3.512246132,1.872217178,-3.538475037
,0.008653898,0.016478641,A2m,1,-1.94015789,-2.050991058,-2.248968124,-1.477602005,-4.571402073,-2.11333847,-1.400514603,-1.95657444,-1.137628555,-0.992500305,-1.218699455,-2.257893562,-1.892526627,-2.205338478,-2.122925758,-1.519777298,-0.587749481,-1.183773041
,0.7885171,-0.517561027,AI182371,2,-2.214373589,-2.100816727,-2.207731247,-2.102430344,-3.341921091,-3.536272049,-2.846422195,-2.17410183,-2.550048828,-1.597846985,-2.670680046,-3.997369051,-3.347808838,-3.387354851,-2.571343422,-1.973972321,-2.686246872,-2.436246872
,0.885253028,-1.439217057,AW551984,2,-0.749835014,0.419647217,0.411865234,0.283090591,-0.768993378,0.425596237,-3.44329381,-0.92044735,-0.571676254,-0.284927368,-3.872433424,0.236697197,0.459632874,-0.315720558,-0.705658913,-0.449892044,-0.143070221,-1.331567764
,0.052338118,-0.025988749,Aacs,0,1.359633446,1.748062134,0.911180496,1.083204269,1.495117188,1.349603653,1.306606293,1.135802269,0.836807251,1.473602295,1.149180412,1.425635338,1.305784225,1.630871773,1.75301075,0.624185562,1.082649231,1.505865097
,0.001191481,-0.000439678,Aak1,0,1.107136726,1.426830292,1.024572372,1.318447113,1.490224838,1.419216156,0.97769165,1.070004463,1.067277908,1.126216888,1.381016731,1.340121269,1.305677414,1.269629478,1.277789116,0.971693039,0.969366074,1.486341476
,0.219909667,0.072045088,Aamdc,0,1.924334526,2.405191422,2.117258072,2.595052719,2.42502594,2.555841446,2.250249863,2.281888008,2.33306694,2.070932388,2.410525322,2.276684761,2.352508545,2.405180931,2.299899101,2.437778473,2.295190811,2.339504242
,0.65035323,-0.147732088,Aars1,0,2.532525063,2.74269104,2.634771347,3.027633667,2.605903625,2.863256454,2.462366104,2.47856617,2.409572601,2.559209824,2.727837563,2.479619026,2.606126785,2.447794914,2.489954948,2.584320068,3.135440826,2.885889053
,0.243590851,-0.140308074,Aarsd1,0,0.045716286,0.432559967,0.546670914,0.708482742,0.247175217,0.564424515,1.075971603,0.235547066,-0.146533966,0.191728592,-0.116967201,0.041323662,0.227045059,0.231116295,0.154109001,0.186885834,-0.015060425,1.086374283
,0.102688869,0.053510087,Aatk,0,-1.267092705,-1.089952469,-1.638525009,-0.949872971,-0.937416077,-0.970209122,-1.218538284,-1.601109505,-1.320230484,-1.497627258,-0.734824181,-0.829699516,-1.088241577,-1.277018547,-1.299418449,-1.617366791,-0.963830948,-0.849155426
,2.159558536,4.257092782,Ran,2,-4.273836613,-0.686824799,-4.575170994,1.537942886,2.06206131,2.010837555,3.306692123,1.691304207,0.559619904,4.190542221,1.9822855,2.79705143,2.482011795,3.090931892,2.866265297,-0.276189804,1.368276596,1.779100418
,0.734588414,0.900552741,Abca6,1,-0.900954247,-0.336576462,-3.84195447,-0.655899048,-0.515525818,-0.515817642,-0.749422073,-1.295308113,-0.447675705,0.105690002,-0.314993858,-0.48766613,-0.27353096,-0.216374397,-0.204558372,-0.409133911,-0.526760101,-0.109922409
,0.229772798,-0.209475381,Abca7,6,-2.227726936,-2.303798676,-2.149650574,-2.629449844,-2.13602829,-1.942544937,-3.26582098,-3.215021133,-3.39131403,-2.041641474,-1.767552376,-2.174145699,-2.650177002,-2.322949409,-1.790417671,-3.369347095,-3.48585248,-1.45111084
,0.029645523,-0.06768855,Abca8a,5,-3.821103573,-1.287302017,-2.736582756,-1.497880936,-3.75387311,-1.94037056,-2.736863852,-1.331061363,-1.381484985,-4.51160717,-1.168580055,-1.367276192,-1.089427948,-1.635708809,-1.382496834,-1.183048248,-1.463127136,-0.948785782
,0.945173008,0.217527424,Abca8b,0,-0.357190132,0.047159195,-0.477563858,-0.359025955,-0.087997437,0.176776886,-0.132299423,-0.289446831,-0.280855179,0.050765991,0.079161644,-0.226201057,-0.070552826,-0.029585838,0.049895287,-0.308544159,-0.069730759,-0.073196411
,0.745934062,0.814195318,Abca9,1,-1.387061119,-0.216941833,-3.174404383,0.143745422,-0.310613632,-0.12736702,-0.576967239,-0.18631649,-0.8353405,-0.349035263,-0.025650978,-0.232226372,-0.133365631,-0.187125206,0.067271233,-0.691490173,-0.043787003,-0.226963043
,0.173599218,0.343917608,Abcb10,5,-1.104153633,-0.977275848,-4.348949432,-0.794563293,-1.085733414,-1.171676636,-3.36203146,-0.382838249,-1.834179878,-1.384300232,-1.015465736,-0.992320061,-1.398832321,-0.892825127,-1.031275749,-2.73566699,-1.929801941,-3.636208057
,0.786897611,-1.173489196,Abcb1a,3,-0.663754463,0.130413055,-0.626195908,0.814804077,-0.277288437,-3.843762398,-2.704402447,-0.480977058,-0.718250275,-0.186246872,-0.606780052,-0.604464531,-0.466121674,-0.429520607,-0.132691383,-3.876829386,0.4806633,-0.10323143
,0.065896289,0.097441775,Abcb7,1,-1.767741203,-1.022247314,-2.157779694,-1.432064056,-1.000337601,-3.264298916,-0.499370575,-0.442921638,-1.656190872,-1.553939819,-2.065554619,-1.086379051,-1.621566772,-1.457007408,-1.35050869,-1.650686264,-1.369110107,-1.848358154
,0.333524294,0.193777391,Abcb8,0,-0.985386848,-0.89720726,-1.353620529,-1.642721176,-1.226078033,-1.083467484,-0.626878738,-0.24337101,-1.418903351,-1.245182037,-1.337815285,-1.577551842,-1.087417603,-1.131531715,-1.080077171,-1.904426575,-1.110042572,-1.636457443
,0.093695896,-0.035503966,Abcb9,0,1.728234291,2.128080368,2.00469017,1.900537491,2.116605759,1.951528549,1.830354691,1.827223778,1.523509979,1.794233322,2.290715218,2.063288689,1.957241058,1.894589424,2.083283424,1.797903061,1.666351318,2.086828232
,0.182464132,-0.537091451,Abcc1,5,0.282532692,-3.9949615,-1.487325668,-0.2137146,-1.412927628,-0.454851151,-1.731182098,-0.619145393,-4.306354046,-4.609006882,-0.099743843,-1.220303535,-0.654720306,-1.044507027,-4.048449516,-3.892124653,-1.068090439,-0.913318634
,1.078720034,0.679620538,Abcc4,3,-3.898029327,-3.117240906,-4.724698067,-3.159109116,-3.074018478,-2.631673813,-3.307582855,-2.996260643,-3.840250015,-2.690770864,-2.775485039,-2.994696617,-2.581970215,-2.966431618,-2.90295887,-2.819223404,-3.287281036,-2.768890381
,0.057605771,0.090185199,Abcd1,4,-1.896891594,-1.708662033,-2.750850677,-1.935279846,-3.844838381,-1.759183884,-1.232851028,-1.380249977,-1.342702866,-3.066914797,-1.252409935,-4.295381069,-2.101531982,-1.498345375,-1.690566063,-1.903619766,-1.632514954,-1.840112686
,0.599955177,-0.485250916,Abcd2,0,-0.470337868,-0.122991562,-0.023956299,0.141778946,-0.064443588,-0.134405136,-0.891561508,-0.283078194,-0.535423279,-0.143484116,-2.176497459,-0.524886131,-0.612041473,0.274712563,0.224858284,-2.240198135,-1.052404404,-0.832958221
,0.175657523,0.161446129,Abcd3,0,0.76438427,0.649368286,-0.6811409,0.852905273,1.028129578,0.805168152,0.623695374,0.321400642,0.961841583,-0.416816711,0.58135891,0.734784126,0.9739151,0.440720558,0.694312096,0.424365997,0.454368591,1.279193878
,0.016136059,0.003221273,Abce1,0,1.412968636,1.318872452,1.08225441,1.299003601,1.234828949,1.309371948,1.433092117,1.210541725,1.233686447,1.186326981,1.362624168,1.322329521,1.312837601,1.336632729,1.440821648,1.236436844,1.118017197,1.391153336
,0.042089613,-0.013456924,Abcf1,0,-0.245383263,0.076709747,-0.291851044,-0.430803299,-0.312984467,-0.361392975,-0.227401733,-0.103331566,-0.070455551,-0.49007988,-0.088376045,-0.224543571,-0.247644424,0.143832207,-0.065022469,-0.360967636,-0.254196167,-0.096755981
,0.314688174,0.119346312,Abcf2,0,0.118340492,0.251625061,-0.105875015,-0.029121399,0.499601364,0.24266243,0.180124283,0.273921013,-0.016643524,-0.379983902,0.446938515,0.321314812,0.271348953,0.035851479,0.127331734,0.155708313,0.021146774,0.447338104
,0.371406617,0.496805634,Abcf3,0,-2.261054039,-0.980386734,-1.701282501,-0.186933517,-1.077632904,-1.328176498,-1.092973709,-0.892539024,-1.435733795,-1.054563522,1.382359505,-1.421404839,-1.119258881,-0.362345695,-0.749178886,-1.351942062,-0.886526108,0.346822739
,0.282151866,0.319929838,Abcg2,0,0.981667519,2.700130463,1.954324722,2.699476242,2.672052383,2.66812706,2.597221375,2.560763359,2.702297211,0.738912582,2.887433052,2.749360085,3.062862396,2.580388069,2.547753334,2.640258789,2.318702698,3.094539642
,0.81912633,0.339405503,Abhd10,0,-1.631731987,-1.171730042,-0.90007782,-0.613006592,-0.527173996,-0.353626251,-0.874628067,-0.942238808,-0.522909164,-1.199373245,-0.758168221,-0.801726341,-0.961374283,-0.582695961,-0.776972771,-0.532052994,-0.559432983,-0.605400085
,0.299387991,0.070500204,Abhd12,0,0.4773283,0.200990677,0.26197052,0.542627335,0.660367966,0.447061539,0.524066925,0.215395927,0.282247543,0.387611389,0.571854591,0.669850349,0.758369446,0.342526436,0.403075218,0.091753006,0.504480362,0.626468658
,1.443350303,4.12058035,Serpina1e,3,-4.614805698,-4.32783556,-3.076168537,0.451421738,0.102054596,-0.156904221,-1.072124481,-0.632971764,5.643484116,4.99763298,-0.28003788,-0.977599144,-0.268789291,-0.011096001,0.245118141,5.675813675,0.363182068,3.212961197
,2.493245643,3.658115983,Hnrnpf,5,-3.973306179,-1.147186279,-4.606991291,-3.785408497,0.409484863,1.403995514,0.335170746,0.846766472,1.316490173,-2.825219154,0.472561836,0.455206871,0.568649292,0.749611855,-0.724446297,1.974050522,-2.74478507,0.766931534
,0.281791452,-0.287264177,Abhd4,1,-0.203566551,-1.008705139,-1.26673317,-0.509050369,-0.475214005,-0.56344223,-2.716750622,-1.102574348,-0.722867966,-0.956676483,-0.702420235,-0.35076046,-1.086528778,-0.808356285,-0.499545097,-0.722818375,-0.41674614,-0.606592178
,0.396394673,0.848015087,Abhd5,3,-2.695883274,-0.043016434,-3.651670456,0.833082199,0.150590897,0.161441803,-0.323637009,0.023398399,-0.157146454,-3.026200294,-0.617945671,0.075749397,0.117513657,0.368475914,0.63273716,-3.050466537,0.043525696,-0.246585846
,0.329138149,0.208946398,Abi1,0,1.213706017,1.964157104,0.499465942,1.819387436,1.461977005,1.768808365,1.397251129,1.551699638,1.68211937,1.213541031,2.006482124,1.594075203,1.544477463,1.697472572,1.767231941,1.893218994,1.947402954,1.740337372
,0.453021206,0.774800522,Abi2,2,-2.104580879,-1.653646469,-3.275419712,-0.777309418,-0.689933777,-0.211784363,-0.68806839,-0.575715065,-1.724416733,-4.046309471,-0.309342384,-0.389126778,-0.749528885,-0.624260902,-0.216532707,-0.408018112,-1.413728714,-0.517904282
