"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","Ontology"
"GO:0016064","immunoglobulin mediated immune response","7/75","260/28832",0.0269230769230769,10.3499487179487,7.73418005087865,5.2651625864282e-06,0.00380212149959283,0.00326425443447506,"Cd74/Igha/Ighg3/Ighm/Ighv1-47/Ighv1-5/Ighv4-1",7,"BP"
"GO:0019724","B cell mediated immunity","7/75","264/28832",0.0265151515151515,10.1931313131313,7.66327136056929,5.81808951735705e-06,0.00380212149959283,0.00326425443447506,"Cd74/Igha/Ighg3/Ighm/Ighv1-47/Ighv1-5/Ighv4-1",7,"BP"
"GO:0042742","defense response to bacterium","8/75","415/28832",0.0192771084337349,7.41063453815261,6.71776256298057,1.25198669312912e-05,0.00545448869306588,0.00468286952587945,"Colec12/Igha/Ighg3/Ighm/Jchain/Lbp/Stab1/Umod",8,"BP"
"GO:0002449","lymphocyte mediated immunity","8/75","477/28832",0.0167714884696017,6.44740740740741,6.12664782592919,3.38419634357109e-05,0.0102419241033562,0.00879305045236397,"Cd74/Ephb6/Igha/Ighg3/Ighm/Ighv1-47/Ighv1-5/Ighv4-1",8,"BP"
"GO:0002460","adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains","8/75","487/28832",0.0164271047227926,6.31501711156742,6.04114991340691,3.91810409462747e-05,0.0102419241033562,0.00879305045236397,"Cd74/Ephb6/Igha/Ighg3/Ighm/Ighv1-47/Ighv1-5/Ighv4-1",8,"BP"
"GO:0006958","complement activation, classical pathway","3/75","42/28832",0.0714285714285714,27.4590476190476,8.76328057362062,0.000180419028136172,0.0393012782956628,0.0337415235075718,"Igha/Ighg3/Ighm",3,"BP"
"GO:0019731","antibacterial humoral response","4/75","113/28832",0.0353982300884956,13.6080235988201,6.8578861976441,0.000219409539652516,0.0409668954751198,0.035171514175877,"Igha/Ighg3/Ighm/Jchain",4,"BP"
"GO:0034987","immunoglobulin receptor binding","4/76","21/28366",0.19047619047619,71.0927318295739,16.6542898874095,2.75036580438238e-07,7.23346206552567e-05,5.90604867467375e-05,"Igha/Ighg3/Ighm/Jchain",4,"MF"
"GO:0003823","antigen binding","7/76","217/28366",0.032258064516129,12.0398981324278,8.46145723545065,1.94486591047613e-06,0.000255749867227611,0.000208817181966911,"Igha/Ighg3/Ighm/Ighv1-47/Ighv1-5/Ighv4-1/Jchain",7,"MF"
"GO:0005539","glycosaminoglycan binding","6/76","246/28366",0.024390243902439,9.10333761232349,6.61615308192586,5.26877627038981e-05,0.00461896053037507,0.00377133459354218,"Ighm/Jchain/Nrp2/Stab1/Tpsb2/Vit",6,"MF"
