"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0015980","energy derivation by oxidation of organic compounds",168,0.600618418787084,1.80426693987335,3.11574218777868e-09,7.55409090837508e-06,7.43303856601427e-06,1173,"tags=62%, list=28%, signal=47%","12861/230075/11474/66576/319801/70316/67184/11652/14936/66849/19309/66218/68197/18747/68375/66445/69875/67130/102093/11651/11814/66916/14583/68194/94044/102631912/15289/110323/66152/12858/66414/67841/57423/56451/18642/76559/27369/56351/67914/15929/66046/226646/67530/20203/17448/67680/52331/216558/606496/68342/18293/215951/56428/18706/16828/17449/11947/108037/72900/52637/54636/78920/225887/269951/11949/14387/15925/66091/110842/57436/170718/67834/22272/77559/78830/67003/12859/13063/66495/14467/68202/11564/20656/26926/28080/27357/11958/72157/595136/11946/66694/66052/407785/11950/75406/66972/22273/11429/67273/20916/13382/11957/66945/17993/76187"
"GO:0006091","generation of precursor metabolites and energy",232,0.564791986967625,1.7162318794262,4.24745060915101e-09,7.55409090837508e-06,7.43303856601427e-06,1173,"tags=54%, list=28%, signal=41%","12861/230075/11474/66576/319801/70316/67184/11652/14936/66849/13808/19309/66218/68197/18747/12183/68375/66445/381677/20533/69875/67130/102093/11651/11814/66646/66916/14583/79459/11674/68194/56012/94044/102631912/15289/110323/66152/12858/66414/67841/57423/56451/18642/76559/18648/27369/56351/67914/54403/15929/66046/226646/67530/20203/17448/67680/52331/216558/606496/68342/21991/74370/18293/215951/56428/18706/16828/17449/11947/108037/72900/52637/54636/78920/225887/269951/11949/15360/14387/15925/66091/18655/110842/57436/170718/67041/21881/67834/22272/77559/78830/67003/12859/13063/66495/14467/68202/11564/20656/26926/28080/68165/27357/18984/11958/72157/595136/11946/66694/66052/18639/407785/11950/75406/66972/22273/11429/67273/100198/20916/13382/15356/11957/66945/17993/76187"
"GO:0006119","oxidative phosphorylation",83,0.651603698971362,1.87466294264166,2.97378170976525e-07,0.000264443538540875,0.00026020589960446,1170,"tags=72%, list=28%, signal=53%","12861/230075/11474/66576/70316/67184/66218/68197/68375/66445/69875/67130/11814/66916/68194/94044/102631912/110323/66152/12858/66414/57423/27369/67914/66046/226646/67530/67680/68342/215951/56428/11947/108037/72900/225887/11949/66091/22272/67003/12859/13063/66495/14467/68202/28080/11958/595136/11946/66694/66052/407785/11950/75406/66972/22273/67273/13382/11957/66945/17993"
"GO:0009060","aerobic respiration",110,0.621343453311593,1.82006747187736,2.84314779808595e-07,0.000264443538540875,0.00026020589960446,1170,"tags=67%, list=28%, signal=50%","12861/230075/11474/66576/70316/67184/66218/68197/68375/66445/69875/67130/11651/11814/66916/68194/94044/102631912/110323/66152/12858/66414/57423/56451/27369/67914/15929/66046/226646/67530/17448/67680/68342/18293/215951/56428/17449/11947/108037/72900/78920/225887/269951/11949/15925/66091/170718/67834/22272/67003/12859/13063/66495/14467/68202/11564/28080/11958/595136/11946/66694/66052/407785/11950/75406/66972/22273/11429/67273/20916/13382/11957/66945/17993"
"GO:0045333","cellular respiration",124,0.593853465873917,1.75309315570199,1.40104737967369e-06,0.000996705105899859,0.00098073316577158,1170,"tags=65%, list=28%, signal=48%","12861/230075/11474/66576/70316/67184/66218/68197/18747/68375/66445/69875/67130/11651/11814/66916/68194/94044/102631912/110323/66152/12858/66414/57423/56451/27369/67914/15929/66046/226646/67530/17448/67680/68342/18293/215951/56428/18706/17449/11947/108037/72900/52637/78920/225887/269951/11949/15925/66091/110842/170718/67834/22272/67003/12859/13063/66495/14467/68202/11564/20656/26926/28080/11958/595136/11946/66694/66052/407785/11950/75406/66972/22273/11429/67273/20916/13382/11957/66945/17993"
"GO:0009144","purine nucleoside triphosphate metabolic process",147,0.561394136823904,1.67866298844475,3.24964704064505e-06,0.0016512849319392,0.00162482352032252,1236,"tags=51%, list=29%, signal=37%","19384/230075/11474/319801/70316/67184/13808/66218/68197/18747/12183/68375/18103/75686/20533/69875/67130/12495/66916/79059/79459/11674/68194/56012/94044/102631912/66414/57423/68055/18642/18648/27369/54403/66046/226646/67680/68342/21991/74370/18293/56428/74006/11947/72900/225887/11949/66091/18655/23959/78830/76055/27425/66495/68202/28080/11958/595136/11946/66052/14904/18639/407785/11950/56632/75406/229949/67273/11957/66945/17993/20848/16434/18640/15277/66108"
"GO:0006163","purine nucleotide metabolic process",227,0.516662467786861,1.56698782310843,2.93861350046415e-06,0.0016512849319392,0.00162482352032252,1077,"tags=38%, list=26%, signal=30%","19384/230075/11474/319801/70316/67184/229665/11565/13808/23971/66218/68197/18747/12183/68375/18103/75686/20533/69875/67130/12495/212627/66646/66916/79059/79459/11674/68194/56012/94044/102631912/223646/66414/57423/71207/68055/18642/18648/11821/27369/74167/54403/66046/226646/17448/67680/14571/54195/68342/21991/74370/18293/56428/16828/17449/74006/11947/72900/78920/225887/269951/11949/13836/66091/18655/23959/21881/78830/76055/27425/66495/14198/68202/11564/28080/11958/595136/11946/18104/66052/14904/18639/407785/11950/60596/56632/75406"
"GO:0009150","purine ribonucleotide metabolic process",176,0.540429538363803,1.62552162634736,5.45001080264035e-06,0.00242321105312396,0.00238437972615515,1092,"tags=41%, list=26%, signal=32%","19384/230075/11474/319801/70316/67184/229665/11565/13808/23971/66218/68197/18747/12183/68375/18103/20533/69875/67130/12495/66916/79059/79459/11674/68194/56012/94044/102631912/66414/57423/71207/68055/18642/18648/11821/74167/54403/66046/226646/67680/54195/68342/21991/74370/18293/56428/74006/11947/72900/225887/11949/13836/66091/18655/23959/78830/27425/66495/68202/11564/28080/11958/595136/11946/66052/14904/18639/407785/11950/60596/56632/75406/229949"
"GO:0009117","nucleotide metabolic process",250,0.508204068616331,1.55029240729354,8.75371641011873e-06,0.00345966325231026,0.00340422304837951,1170,"tags=40%, list=28%, signal=31%","19384/230075/11474/319801/70316/67184/229665/11565/13808/23971/66218/68197/18747/12183/68375/18103/75686/20533/69875/67130/12495/212627/66646/66916/79059/79459/11674/68194/56012/94044/102631912/223646/56749/66414/319945/57423/71207/51797/68055/18642/18648/11821/56318/27369/74167/54403/66046/226646/17448/67680/14571/54195/68342/21991/74370/18293/56428/16828/17449/74006/11947/72900/78920/225887/269951/11949/13836/66091/18655/23959/21881/78830/76055/27425/66495/14198/246703/68202/11564/28080/11958/595136/11946/18104/66052/14904/18639/407785/11950/60596/56632/75406/229949/67273/100198/14719/11957/12799/66945/17993"
"GO:0009205","purine ribonucleoside triphosphate metabolic process",141,0.558407382208253,1.66127485616891,1.08899788221921e-05,0.00348763967114225,0.003431751152375,1236,"tags=51%, list=29%, signal=37%","19384/230075/11474/319801/70316/67184/13808/66218/68197/18747/12183/68375/18103/20533/69875/67130/12495/66916/79059/79459/11674/68194/56012/94044/102631912/66414/57423/68055/18642/18648/54403/66046/226646/67680/68342/21991/74370/18293/56428/74006/11947/72900/225887/11949/66091/18655/23959/78830/27425/66495/68202/28080/11958/595136/11946/66052/14904/18639/407785/11950/56632/75406/229949/67273/11957/66945/17993/20848/16434/18640/15277/66108"
