"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0009060","aerobic respiration",110,-0.577354467026508,-2.42814129975745,1e-10,8.87e-08,8.48947368421053e-08,625,"tags=56%, list=15%, signal=49%","28080/68263/66972/11666/11946/57423/68198/235339/67680/75406/17448/17991/17995/71679/22272/11950/11957/66945/17993/18597/11949/67184/11947/15925/595136/68202/227197/11958/67273/67003/225887/20916/15929/407785/67834/12859/22273/12867/66495/11429/66046/66091/18293/215951/66108/78920/68349/170718/66576/226646/66694/12857/108037/14467/70316/12858/69702/72900/56451/67914/11814/11474"
"GO:0045333","cellular respiration",124,-0.566756883906599,-2.41091506803011,1e-10,8.87e-08,8.48947368421053e-08,752,"tags=60%, list=18%, signal=51%","66916/269951/26926/12866/18747/11564/66841/12861/67530/28080/20656/68263/66972/11666/11946/57423/68198/235339/67680/75406/17448/17991/110842/17995/71679/22272/227731/11950/11957/66945/17993/18597/11949/67184/11947/52637/15925/595136/68202/227197/11958/67273/67003/225887/20916/15929/407785/67834/12859/22273/12867/66495/11429/66046/66091/18293/215951/66108/78920/68349/170718/66576/226646/66694/12857/108037/14467/70316/12858/69702/72900/56451/67914/11814/11474"
"GO:0015980","energy derivation by oxidation of organic compounds",168,-0.51966930381284,-2.31298296586179,1e-10,8.87e-08,8.48947368421053e-08,625,"tags=47%, list=15%, signal=42%","28080/20656/68263/66972/11666/11946/57423/68198/235339/67680/75406/17448/17991/110842/17995/71679/22272/227731/11950/11957/66945/17993/18597/11949/67184/11947/52637/15925/595136/68202/227197/16828/11958/67273/67003/225887/20916/66681/15929/407785/67834/12859/22273/12867/66495/11429/66046/78830/66091/18293/215951/216558/27357/66108/78920/68349/170718/66576/18642/226646/66694/12857/72157/108037/14467/77781/70316/12858/69702/102093/72900/77559/52331/56451/67914/11814/19309/14936/11474"
"GO:0006091","generation of precursor metabolites and energy",232,-0.477194354617395,-2.16624624100954,1e-10,8.87e-08,8.48947368421053e-08,625,"tags=41%, list=15%, signal=37%","28080/20656/68165/68263/66972/54403/11666/11946/57423/68198/235339/67680/75406/17448/17991/110842/17995/71679/22272/227731/11950/107747/74114/11957/66945/17993/18597/14555/79459/11949/66646/67184/11947/11674/52637/15925/595136/68202/227197/16828/11958/67273/67003/225887/20916/66681/15929/407785/67834/12859/22273/12867/12183/66495/11429/66046/78830/66091/18293/215951/216558/27357/66108/78920/13808/68349/170718/66576/18642/226646/66694/381677/12857/72157/108037/14467/77781/70316/12858/18639/56012/69702/102093/72900/77559/52331/20533/56451/67914/11814/19309/14447/14936/15277/11474"
"GO:0006119","oxidative phosphorylation",83,-0.619536756818205,-2.62949814431447,4.75411272480003e-10,3.3735183895181e-07,3.22879318951682e-07,625,"tags=59%, list=15%, signal=51%","28080/66972/11666/11946/57423/68198/67680/75406/17991/17995/71679/22272/11950/11957/66945/17993/11949/67184/11947/595136/68202/227197/11958/67273/67003/225887/407785/12859/22273/12867/66495/66046/66091/215951/66108/68349/66576/226646/66694/12857/108037/14467/70316/12858/69702/72900/67914/11814/11474"
"GO:0015986","proton motive force-driven ATP synthesis",48,-0.677723389432753,-2.52205080981648,1.57821710340302e-08,9.33252380478988e-06,8.93215504487396e-06,625,"tags=67%, list=15%, signal=57%","28080/11946/57423/68198/67680/75406/17991/17995/71679/11950/11957/66945/17993/11949/67184/11947/595136/68202/227197/11958/67273/225887/407785/66495/66046/66091/66108/68349/226646/70316/72900/27425"
"GO:0009205","purine ribonucleoside triphosphate metabolic process",141,-0.454245361764033,-1.96601185544468,1.60818647048063e-07,8.15120799609327e-05,7.80151812597071e-05,650,"tags=38%, list=15%, signal=34%","18746/19082/28080/11636/54403/11946/57423/68198/67680/75406/17991/17995/71679/227731/11950/11957/66945/17993/14555/79459/11949/67184/11947/11674/595136/19384/68202/227197/11958/67273/225887/407785/12183/66495/19335/66046/78830/66091/18293/66108/13808/68349/18642/226646/70316/18639/56012/72900/20533/27425/14679/14447/15277/11474"
"GO:0042776","proton motive force-driven mitochondrial ATP synthesis",46,-0.665791108790893,-2.43937986550253,2.28271178200016e-07,0.000101238267531707,9.68951080096385e-05,625,"tags=67%, list=15%, signal=58%","28080/11946/57423/68198/67680/75406/17991/17995/71679/11950/11957/66945/17993/11949/67184/11947/595136/68202/227197/11958/67273/225887/407785/66495/66046/66091/66108/68349/226646/70316/72900"
"GO:0009199","ribonucleoside triphosphate metabolic process",145,-0.442311490757778,-1.92709063014855,3.24926832120256e-07,0.000128093377818074,0.000122598124025725,650,"tags=38%, list=15%, signal=33%","18746/19082/28080/11636/54403/11946/57423/68198/67680/75406/17991/17995/71679/227731/11950/11957/66945/17993/14555/79459/11949/67184/11947/11674/595136/19384/68202/227197/51797/11958/67273/225887/407785/12183/66495/19335/66046/78830/66091/18293/66108/13808/68349/18642/226646/70316/18639/56012/72900/20533/27425/14679/14447/15277/11474"
"GO:0019646","aerobic electron transport chain",39,-0.677770516268276,-2.39937381185104,9.23863907163267e-07,0.000327786914261527,0.000313724733106179,556,"tags=69%, list=13%, signal=61%","13382/12866/12861/67530/67680/75406/17995/22272/66945/227197/67273/67003/225887/407785/12859/22273/12867/215951/68349/66576/226646/66694/12857/12858/69702/72900/67914"
