"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"R-MMU-1428517","Aerobic respiration and respiratory electron transport",129,-0.592540864745631,-2.5429673409707,1e-10,6.41e-08,6.26315789473684e-08,779,"tags=64%, list=19%, signal=53%","13382/11739/76916/66916/269951/12866/66841/12861/68636/14718/18746/28080/68263/18041/75597/11946/57423/27402/68198/235339/67680/75406/17448/17991/14874/110842/217666/17995/71679/22272/11950/66706/11957/66945/17993/18597/22333/11949/67184/11947/595136/68202/227197/16828/67863/11958/67273/67003/225887/20916/14651/15929/17992/407785/67834/22273/12867/66495/11429/66477/66046/78830/66091/18293/66108/14719/78920/68349/170718/66576/226646/66694/12857/70316/12858/69702/72900/56451/27425/381511/52469/69487"
"R-MMU-611105","Respiratory electron transport",73,-0.613921570166257,-2.37481728773644,4.71212742871723e-09,1.51023684090387e-06,1.47563990530882e-06,760,"tags=63%, list=18%, signal=53%","76916/66916/12866/66841/12861/14718/18041/75597/68198/75406/17448/17991/110842/17995/22272/66706/17993/67184/595136/68202/227197/67863/67273/67003/225887/17992/407785/22273/12867/66495/66046/78830/66091/66108/14719/68349/66576/226646/66694/12857/70316/12858/69702/72900/52469/69487"
"R-MMU-6799198","Complex I biogenesis",40,-0.683773809841523,-2.36387020510045,6.08972924462121e-07,0.000130117214860073,0.000127136452650864,604,"tags=60%, list=14%, signal=52%","75597/68198/75406/17991/17995/66706/17993/67184/595136/68202/227197/67273/225887/407785/66495/66046/66091/66108/68349/226646/70316/69702/72900/69487"
"R-MMU-72203","Processing of Capped Intron-Containing Pre-mRNA",105,0.56735131044574,1.71586134962238,1.53311543583886e-05,0.00245681748593178,0.00240053601137927,831,"tags=36%, list=20%, signal=30%","72047/68183/20643/76522/71702/20383/73826/53817/21681/68879/76479/53607/22185/20641/19826/69878/234865/56070/231889/269113/54196/66679/19205/66354/76938/74351/170791/56258/269061/66585/56215/20630/72124/69912/212880/18226/231329/20020"
"R-MMU-166208","mTORC1-mediated signalling",16,0.806856997044247,1.86187548828251,5.16575586832626e-05,0.00662249902319426,0.00647078892979815,307,"tags=38%, list=7%, signal=35%","67605/54170/56692/68441/83409/19744"
"R-MMU-71403","Citric acid cycle (TCA cycle)",20,-0.748594573569621,-2.20067859722864,7.1722051540791e-05,0.00666405411185971,0.00651139206265954,842,"tags=80%, list=20%, signal=64%","74316/12974/13382/269951/18041/67680/17448/66945/20916/15929/67834/11429/18293/78920/170718/56451"
"R-MMU-8982491","Glycogen metabolism",10,-0.867438868588055,-2.09376693617373,7.27743818767831e-05,0.00666405411185971,0.00651139206265954,250,"tags=70%, list=6%, signal=66%","216558/27357/72157/102093/77559/19309/14936"
"R-MMU-72163","mRNA Splicing - Major Pathway",84,0.574311921057322,1.70332942780205,9.47184836681739e-05,0.00674606089236661,0.00659152020848696,831,"tags=35%, list=20%, signal=28%","72047/68183/20643/76522/71702/20383/53817/21681/68879/76479/53607/22185/20641/19826/69878/56070/231889/19205/66354/76938/74351/170791/56258/66585/56215/20630/212880/231329/20020"
"R-MMU-72172","mRNA Splicing",84,0.574311921057322,1.70332942780205,9.47184836681739e-05,0.00674606089236661,0.00659152020848696,831,"tags=35%, list=20%, signal=28%","72047/68183/20643/76522/71702/20383/53817/21681/68879/76479/53607/22185/20641/19826/69878/56070/231889/19205/66354/76938/74351/170791/56258/66585/56215/20630/212880/231329/20020"
"R-MMU-165159","MTOR signalling",25,0.718247949767321,1.81277694390346,0.000308522839147357,0.0197763139893456,0.0193232725571239,576,"tags=36%, list=14%, signal=31%","67605/54170/11651/56692/68441/83409/19744/11652/108097"
"R-MMU-2173782","Binding and Uptake of Ligands by Scavenger Receptors",14,-0.764023000839036,-2.03735199414485,0.000361594966841537,0.0210711248859478,0.0205884215570062,212,"tags=36%, list=5%, signal=34%","100503605/12491/11699/16069/15439"
