"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","Ontology"
"GO:0003094","glomerular filtration","3/26","32/28832",0.09375,103.961538461538,17.5076887578016,3.17314690403365e-06,0.00205597004839168,0.00120643216714742,"Umod/Jchain/Gas6",3,"BP"
"GO:0097205","renal filtration","3/26","35/28832",0.0857142857142857,95.0505494505495,16.7261807221073,4.17963752613407e-06,0.00205597004839168,0.00120643216714742,"Umod/Jchain/Gas6",3,"BP"
"GO:0003014","renal system process","4/26","141/28832",0.0283687943262411,31.4588106928532,10.8924281569452,7.53580643686837e-06,0.00205597004839168,0.00120643216714742,"Umod/Jchain/Agt/Gas6",4,"BP"
"GO:0030198","extracellular matrix organization","5/26","337/28832",0.0148367952522255,16.4528646427756,8.57264163436443,1.13852743136801e-05,0.00205597004839168,0.00120643216714742,"Agt/Col6a5/Fap/Col6a6/Gas6",5,"BP"
"GO:0045229","external encapsulating structure organization","5/26","338/28832",0.014792899408284,16.4041875284479,8.55845725707393,1.15491813259144e-05,0.00205597004839168,0.00120643216714742,"Agt/Col6a5/Fap/Col6a6/Gas6",5,"BP"
"GO:0043062","extracellular structure organization","5/26","339/28832",0.0147492625368732,16.3557975947356,8.54433343466066,1.17149290506649e-05,0.00205597004839168,0.00120643216714742,"Agt/Col6a5/Fap/Col6a6/Gas6",5,"BP"
"GO:0070168","negative regulation of biomineral tissue development","2/26","27/28832",0.0740740740740741,82.1424501424501,12.6727570332197,0.000270683561617021,0.0365919046883334,0.0214719328755453,"Aspn/Gas6",2,"BP"
"GO:0006883","intracellular sodium ion homeostasis","2/26","28/28832",0.0714285714285714,79.2087912087912,12.4389361028863,0.000291343771403653,0.0365919046883334,0.0214719328755453,"Umod/Agt",2,"BP"
"GO:1901658","glycosyl compound catabolic process","2/26","29/28832",0.0689655172413793,76.4774535809019,12.2172208691054,0.000312751322122508,0.0365919046883334,0.0214719328755453,"Enpp4/Gla",2,"BP"
"GO:0050878","regulation of body fluid levels","4/26","384/28832",0.0104166666666667,11.5512820512821,6.25345492687198,0.000367208415850577,0.0386670461890657,0.0226896147478198,"Enpp4/Umod/Gla/Gas6",4,"BP"
"GO:0003071","renal system process involved in regulation of systemic arterial blood pressure","2/26","33/28832",0.0606060606060606,67.2074592074592,11.4327376175048,0.000405829749445645,0.0388489751060241,0.0227963696578559,"Agt/Gas6",2,"BP"
"GO:0070293","renal absorption","2/26","42/28832",0.0476190476190476,52.8058608058608,10.0938711352485,0.00065848609766689,0.0477583608746382,0.0280243493111537,"Umod/Gas6",2,"BP"
"GO:0030308","negative regulation of cell growth","3/26","195/28832",0.0153846153846154,17.0603550295858,6.76057657586792,0.000706220237758191,0.0477583608746382,0.0280243493111537,"Agt/Map2/Ccar2",3,"BP"
"GO:0007596","blood coagulation","3/26","197/28832",0.0152284263959391,16.8871534556814,6.72211067685068,0.000727419341591034,0.0477583608746382,0.0280243493111537,"Enpp4/Gla/Gas6",3,"BP"
"GO:0055078","sodium ion homeostasis","2/26","45/28832",0.0444444444444444,49.2854700854701,9.73866811463116,0.000755886655090692,0.0477583608746382,0.0280243493111537,"Umod/Agt",2,"BP"
"GO:0050817","coagulation","3/26","200/28832",0.015,16.6338461538462,6.66545864027169,0.000759973354902616,0.0477583608746382,0.0280243493111537,"Enpp4/Gla/Gas6",3,"BP"
"GO:0007599","hemostasis","3/26","201/28832",0.0149253731343284,16.5510907003444,6.64684686744302,0.000771027668441452,0.0477583608746382,0.0280243493111537,"Enpp4/Gla/Gas6",3,"BP"
"GO:0019865","immunoglobulin binding","2/27","28/28366",0.0714285714285714,75.042328042328,12.0991677621629,0.000324799253158994,0.0177632567702554,0.0107341317714993,"Umod/Jchain",2,"MF"
"GO:0005201","extracellular matrix structural constituent","3/27","142/28366",0.0211267605633803,22.1956181533646,7.81559403633669,0.000328949199449173,0.0177632567702554,0.0107341317714993,"Col6a5/Aspn/Col6a6",3,"MF"
"GO:0030020","extracellular matrix structural constituent conferring tensile strength","2/27","46/28366",0.0434782608695652,45.6779388083736,9.36065924012163,0.000879987064096144,0.0316795343074612,0.0191435782364775,"Col6a5/Col6a6",2,"MF"
"GO:0031253","cell projection membrane","4/29","396/28779",0.0101010101010101,10.0240334378265,5.74287705392418,0.000638710689715496,0.0311584953050014,0.0181817306699665,"Umod/Ank1/Map2/Fap",4,"CC"
"GO:0001726","ruffle","3/29","196/28779",0.0153061224489796,15.1894792399719,6.33068881852256,0.000997606437628728,0.0311584953050014,0.0181817306699665,"Tmod3/Map2/Fap",3,"CC"
"GO:0031256","leading edge membrane","3/29","205/28779",0.0146341463414634,14.5226240538267,6.17110254536985,0.00113529048165155,0.0311584953050014,0.0181817306699665,"Ank1/Map2/Fap",3,"CC"
"GO:0031252","cell leading edge","4/29","485/28779",0.00824742268041237,8.18457163170992,5.06798070105457,0.00135471718717398,0.0311584953050014,0.0181817306699665,"Ank1/Tmod3/Map2/Fap",4,"CC"
"GO:0016529","sarcoplasmic reticulum","2/29","82/28779",0.024390243902439,24.2043734230446,6.68296061607578,0.00309738324309668,0.0486355699047516,0.0283800236286308,"Itpr1/Ank1",2,"CC"
"GO:0005581","collagen trimer","2/29","83/28779",0.0240963855421687,23.9127544661404,6.63920447238419,0.00317188499378815,0.0486355699047516,0.0283800236286308,"Col6a5/Col6a6",2,"CC"
