"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","Ontology"
"GO:0007596","blood coagulation","10/104","197/28832",0.050761421319797,14.0726278797345,11.0774868944577,2.63708710402542e-09,2.33359693682209e-06,1.80496728393767e-06,"Enpp4/Pf4/Kng2/Serping1/F11r/Hgfac/Prrg3/Fga/Gla/Gas6",10,"BP"
"GO:0050817","coagulation","10/104","200/28832",0.05,13.8615384615385,10.9818599920563,3.05089035593995e-09,2.33359693682209e-06,1.80496728393767e-06,"Enpp4/Pf4/Kng2/Serping1/F11r/Hgfac/Prrg3/Fga/Gla/Gas6",10,"BP"
"GO:0007599","hemostasis","10/104","201/28832",0.0497512437810945,13.7925755836204,10.9504404684273,3.20109319179986e-09,2.33359693682209e-06,1.80496728393767e-06,"Enpp4/Pf4/Kng2/Serping1/F11r/Hgfac/Prrg3/Fga/Gla/Gas6",10,"BP"
"GO:0050878","regulation of body fluid levels","12/104","384/28832",0.03125,8.66346153846154,9.09616964212991,1.50937418595293e-08,8.25250336169766e-06,6.38306399164832e-06,"Enpp4/Umod/Pf4/Madd/Kng2/Serping1/F11r/Hgfac/Prrg3/Fga/Gla/Gas6",12,"BP"
"GO:0042060","wound healing","11/104","403/28832",0.0272952853598015,7.56709295667112,7.98801224057666,2.42030063387075e-07,0.000105863949725507,8.18825919711642e-05,"Enpp4/Ptk2/Pf4/Kng2/Serping1/F11r/Hgfac/Prrg3/Fga/Gla/Gas6",11,"BP"
"GO:0035296","regulation of tube diameter","7/104","195/28832",0.0358974358974359,9.95187376725838,7.54677360856317,7.09576776231006e-06,0.0020057479676734,0.00155138593317024,"Dock5/Ptk2/Sod1/Rock1/Kng2/Agt/Fga",7,"BP"
"GO:0097746","blood vessel diameter maintenance","7/104","195/28832",0.0358974358974359,9.95187376725838,7.54677360856317,7.09576776231006e-06,0.0020057479676734,0.00155138593317024,"Dock5/Ptk2/Sod1/Rock1/Kng2/Agt/Fga",7,"BP"
"GO:0035150","regulation of tube size","7/104","196/28832",0.0357142857142857,9.9010989010989,7.52331614271789,7.33698387809201e-06,0.0020057479676734,0.00155138593317024,"Dock5/Ptk2/Sod1/Rock1/Kng2/Agt/Fga",7,"BP"
"GO:0050900","leukocyte migration","9/104","408/28832",0.0220588235294118,6.11538461538461,6.26122922859333,1.7508735868506e-05,0.00425462281604697,0.00329082322113324,"Umod/Ptk2/Podxl/Pf4/Cd99/Apod/Rock1/F11r/Gas6",9,"BP"
"GO:0003018","vascular process in circulatory system","7/104","259/28832",0.027027027027027,7.49272349272349,6.31528124113759,4.40586634560796e-05,0.00963562969784461,0.00745287075514947,"Dock5/Ptk2/Sod1/Rock1/Kng2/Agt/Fga",7,"BP"
"GO:0019216","regulation of lipid metabolic process","8/104","389/28832",0.0205655526992288,5.70140399446312,5.61705270162682,8.52512554495191e-05,0.0169494996061907,0.0131099299050122,"Sod1/Apod/Ces1c/C3/Zbtb20/Agt/Lpcat3/Mtmr2",8,"BP"
"GO:0030193","regulation of blood coagulation","4/104","69/28832",0.0579710144927536,16.0713489409142,7.5414248273612,0.000115325475596381,0.0187940723721741,0.0145366516507033,"Enpp4/Kng2/Serping1/Fga",4,"BP"
"GO:0061041","regulation of wound healing","5/104","132/28832",0.0378787878787879,10.5011655011655,6.58289195428413,0.000119246708899184,0.0187940723721741,0.0145366516507033,"Enpp4/Ptk2/Kng2/Serping1/Fga",5,"BP"
"GO:0042311","vasodilation","4/104","70/28832",0.0571428571428571,15.8417582417582,7.48029385097173,0.00012197744603232,0.0187940723721741,0.0145366516507033,"Ptk2/Sod1/Kng2/Agt",4,"BP"
"GO:1900046","regulation of hemostasis","4/104","71/28832",0.0563380281690141,15.6186348862405,7.42040875735774,0.000128903102689809,0.0187940723721741,0.0145366516507033,"Enpp4/Kng2/Serping1/Fga",4,"BP"
"GO:0014911","positive regulation of smooth muscle cell migration","4/104","73/28832",0.0547945205479452,15.190727081138,7.30420601545609,0.000143602380243041,0.0188982394518312,0.0146172217645381,"Dock5/Ptk2/Agt/Fga",4,"BP"
"GO:0014812","muscle cell migration","5/104","138/28832",0.036231884057971,10.0445930880713,6.4080642244907,0.00014689989514455,0.0188982394518312,0.0146172217645381,"Dock5/Ptk2/Rock1/Agt/Fga",5,"BP"
"GO:0050818","regulation of coagulation","4/104","75/28832",0.0533333333333333,14.785641025641,7.19249609915827,0.000159477565207597,0.0189073656484091,0.0146242806040447,"Enpp4/Kng2/Serping1/Fga",4,"BP"
"GO:2001233","regulation of apoptotic signaling pathway","8/104","428/28832",0.0186915887850467,5.18188353702372,5.24442516878942,0.000164261521408218,0.0189073656484091,0.0146242806040447,"Gsdme/Birc6/Ghitm/Madd/Sod1/Agt/Fga/Ccar2",8,"BP"
"GO:0051648","vesicle localization","6/104","226/28832",0.0265486725663717,7.36010891763104,5.77542611265191,0.0001737249662441,0.0189968250587923,0.0146934747765404,"Exoc4/Syn2/Shroom2/Pef1/Madd/Map2",6,"BP"
