"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","Ontology"
"GO:0003012","muscle system process","23/272","461/28832",0.0498915401301518,5.2885032537961,9.05845410412704,1.06750003759546e-10,3.73304763147132e-07,2.66650272548845e-07,"Aldoa/Apbb1/Atp2a1/Calca/Cav1/Gaa/Gucy1a1/Mlip/Mybpc2/Myh11/Myh4/Mylk/Pdlim5/Ptk2/Rock1/Smtn/Sod1/Sorbs2/Sri/Tnnc2/Tpm1/Tpm2/Tpm3",23,"BP"
"GO:0042060","wound healing","21/272","403/28832",0.0521091811414392,5.52357320099256,8.92459583217695,3.2463548206196e-10,5.67625140385337e-07,4.05452631017384e-07,"Apoh/Cav1/Cd36/Cd9/F11r/Fga/Gla/Gna13/Hgfac/Hmgb1/Kng2/Krt6a/Mylk/Pf4/Prkcd/Procr/Ptk2/Thbs1/Tor1a/Tpm1/Tspan8",21,"BP"
"GO:0007596","blood coagulation","15/272","197/28832",0.0761421319796954,8.07106598984772,9.71862026137939,7.09435232529659e-10,6.5592396501871e-07,4.6852416928477e-07,"Apoh/Cav1/Cd36/Cd9/F11r/Fga/Gla/Gna13/Hgfac/Kng2/Pf4/Prkcd/Procr/Thbs1/Tspan8",15,"BP"
"GO:0050817","coagulation","15/272","200/28832",0.075,7.95,9.62518672138328,8.75162341979201e-10,6.5592396501871e-07,4.6852416928477e-07,"Apoh/Cav1/Cd36/Cd9/F11r/Fga/Gla/Gna13/Hgfac/Kng2/Pf4/Prkcd/Procr/Thbs1/Tspan8",15,"BP"
"GO:0007599","hemostasis","15/272","201/28832",0.0746268656716418,7.91044776119403,9.59447381798644,9.37838096966986e-10,6.5592396501871e-07,4.6852416928477e-07,"Apoh/Cav1/Cd36/Cd9/F11r/Fga/Gla/Gna13/Hgfac/Kng2/Pf4/Prkcd/Procr/Thbs1/Tspan8",15,"BP"
"GO:0050818","regulation of coagulation","10/272","75/28832",0.133333333333333,14.1333333333333,11.1139647142525,2.28813938663409e-09,1.33360390584324e-06,9.52588555172403e-07,"Apoh/Cav1/Cd36/Cd9/Fga/Kng2/Prkcd/Procr/Thbs1/Tspan8",10,"BP"
"GO:0006936","muscle contraction","18/272","330/28832",0.0545454545454545,5.78181818181818,8.52604390217591,3.02943903957574e-09,1.51342118877091e-06,1.08103140464861e-06,"Aldoa/Apbb1/Atp2a1/Calca/Cav1/Gaa/Gucy1a1/Mybpc2/Myh11/Myh4/Mylk/Smtn/Sod1/Sri/Tnnc2/Tpm1/Tpm2/Tpm3",18,"BP"
"GO:0061041","regulation of wound healing","12/272","132/28832",0.0909090909090909,9.63636363636364,9.70537098637018,4.98826022276018e-09,2.18049324987404e-06,1.55751861955393e-06,"Apoh/Cav1/Cd36/Cd9/Fga/Hmgb1/Kng2/Mylk/Prkcd/Ptk2/Thbs1/Tspan8",12,"BP"
"GO:0007162","negative regulation of cell adhesion","17/272","322/28832",0.0527950310559006,5.59627329192547,8.09413371043156,1.36008077831056e-08,5.28466942416891e-06,3.77482068646895e-06,"Akt1/Apod/Cd9/Cfl1/Coro1c/Coro2b/Dusp3/Hmgb1/Kng2/Lgals3/Myadm/Pf4/Podxl/Prkcd/Ptk2/Thbs1/Tnc",17,"BP"
"GO:0030193","regulation of blood coagulation","9/272","69/28832",0.130434782608696,13.8260869565217,10.4096670320561,1.79284367639922e-08,6.26957433636809e-06,4.47833478325827e-06,"Apoh/Cav1/Cd36/Cd9/Fga/Kng2/Prkcd/Thbs1/Tspan8",9,"BP"
"GO:1900046","regulation of hemostasis","9/272","71/28832",0.126760563380282,13.4366197183099,10.239169718977,2.31760295465665e-08,6.98575632880161e-06,4.98990104849156e-06,"Apoh/Cav1/Cd36/Cd9/Fga/Kng2/Prkcd/Thbs1/Tspan8",9,"BP"
"GO:0050819","negative regulation of coagulation","8/272","51/28832",0.156862745098039,16.6274509803922,10.9007278508766,2.53750175693274e-08,6.98575632880161e-06,4.98990104849156e-06,"Apoh/Cd9/Fga/Kng2/Prkcd/Procr/Thbs1/Tspan8",8,"BP"
"GO:0045104","intermediate filament cytoskeleton organization","10/272","97/28832",0.103092783505155,10.9278350515464,9.55806594948772,2.89391065156804e-08,6.98575632880161e-06,4.98990104849156e-06,"Csnk1a1/Des/Krt14/Krt17/Krt6a/Krt76/Krt78/Krt79/Sod1/Tor1a",10,"BP"
"GO:0007015","actin filament organization","20/272","474/28832",0.0421940928270042,4.47257383966245,7.43940263943366,3.05631532227377e-08,6.98575632880161e-06,4.98990104849156e-06,"Abi2/Arhgap18/Capza1/Capza2/Cdc42ep2/Cfl1/Cnn3/Coro1c/Coro2b/Coro6/Dnm2/Emp2/F11r/Myadm/Prkcd/Rhoj/Spire2/Tpm1/Tpm2/Tpm3",20,"BP"
"GO:0050878","regulation of body fluid levels","18/272","384/28832",0.046875,4.96875,7.64062154386216,3.14994916193093e-08,6.98575632880161e-06,4.98990104849156e-06,"Apoh/Cav1/Cd36/Cd9/Coro2b/Emp2/F11r/Fga/Gla/Gna13/Hgfac/Kng2/Pf4/Prkcd/Procr/Thbs1/Tspan8/Vamp8",18,"BP"
"GO:0045103","intermediate filament-based process","10/272","98/28832",0.102040816326531,10.8163265306122,9.499466028754,3.19622823165072e-08,6.98575632880161e-06,4.98990104849156e-06,"Csnk1a1/Des/Krt14/Krt17/Krt6a/Krt76/Krt78/Krt79/Sod1/Tor1a",10,"BP"
"GO:0010810","regulation of cell-substrate adhesion","14/272","235/28832",0.0595744680851064,6.31489361702128,7.98368646590064,5.99444922652957e-08,1.23309346736317e-05,8.80794304306791e-06,"Apod/C1qbp/Cd36/Cfl1/Coro1c/Coro2b/Dnm2/Dusp3/Efemp2/Emp2/Myadm/Ptk2/Rock1/Thbs1",14,"BP"
"GO:0039531","regulation of cytoplasmic pattern recognition receptor signaling pathway","11/272","135/28832",0.0814814814814815,8.63703703703704,8.67978036209652,6.85826134484456e-08,1.33240777349563e-05,9.51734162065271e-06,"Akt1/Banf1/C1qbp/Cav1/Cd36/Csnk1a1/Erbin/Hmgb1/Lamp2/Ppt1/Tab1",11,"BP"
"GO:1903034","regulation of response to wounding","12/272","177/28832",0.0677966101694915,7.1864406779661,8.05679814775073,1.3243632385975e-07,2.43752539230287e-05,1.7411157701894e-05,"Apoh/Cav1/Cd36/Cd9/Fga/Hmgb1/Kng2/Mylk/Prkcd/Ptk2/Thbs1/Tspan8",12,"BP"
"GO:0008360","regulation of cell shape","11/272","145/28832",0.0758620689655172,8.04137931034483,8.29534356582095,1.42687184758294e-07,2.49488542549878e-05,1.7820878391128e-05,"Aldoa/Arhgap18/Cdc42ep2/Cfl1/F11r/Fmnl1/Gna13/Ptk2/Rhoj/S100b/Tpm1",11,"BP"
"GO:0030195","negative regulation of blood coagulation","7/272","49/28832",0.142857142857143,15.1428571428571,9.66946329720648,3.77010081817897e-07,6.27811550531993e-05,4.48443571004446e-05,"Apoh/Cd9/Fga/Kng2/Prkcd/Thbs1/Tspan8",7,"BP"
"GO:1900047","negative regulation of hemostasis","7/272","50/28832",0.14,14.84,9.5586335287208,4.34872472892547e-07,6.91249562593289e-05,4.93757118743547e-05,"Apoh/Cd9/Fga/Kng2/Prkcd/Thbs1/Tspan8",7,"BP"
"GO:0001952","regulation of cell-matrix adhesion","10/272","132/28832",0.0757575757575758,8.03030303030303,7.90051252223819,5.3775996539587e-07,8.17628956082329e-05,5.84029472715972e-05,"Apod/Cd36/Cfl1/Coro1c/Dusp3/Efemp2/Emp2/Ptk2/Rock1/Thbs1",10,"BP"
"GO:0072522","purine-containing compound biosynthetic process","13/272","254/28832",0.0511811023622047,5.4251968503937,6.91303475829819,1.00720708595104e-06,0.00014675846581545,0.000104829053287799,"Adss1/Aldoa/Dcakd/Gucy1a1/Gucy1b1/Mpc2/Nadk2/Ndufab1/Ndufb1/Ndufb4/Ndufb6/Ndufb7/Nme2",13,"BP"
"GO:0006091","generation of precursor metabolites and energy","18/272","500/28832",0.036,3.816,6.19889442159213,1.51278023748051e-06,0.000211607699618774,0.000151150631728053,"Akt1/Akt2/Aldoa/Aldoart2/Bpgm/Cox6b1/Cyc1/Gaa/Hmgb1/Mtch2/Ndufab1/Ndufb1/Ndufb4/Ndufb6/Ndufb7/Ptges3/Pygm/S100b",18,"BP"
"GO:0062207","regulation of pattern recognition receptor signaling pathway","11/272","189/28832",0.0582010582010582,6.16931216931217,6.95808313933732,2.00450333376847e-06,0.00026605757255123,0.000190043983463742,"Akt1/Banf1/C1qbp/Cav1/Cd36/Csnk1a1/Erbin/Hmgb1/Lamp2/Ppt1/Tab1",11,"BP"
"GO:1901293","nucleoside phosphate biosynthetic process","14/272","315/28832",0.0444444444444444,4.71111111111111,6.46312447168454,2.0542048781479e-06,0.00026605757255123,0.000190043983463742,"Adss1/Aldoa/Dcakd/Flad1/Gucy1a1/Gucy1b1/Mpc2/Nadk2/Ndufab1/Ndufb1/Ndufb4/Ndufb6/Ndufb7/Nme2",14,"BP"
"GO:0038060","nitric oxide-cGMP-mediated signaling","4/272","11/28832",0.363636363636364,38.5454545454545,12.1544242098585,2.42708410811619e-06,0.000293588337242009,0.00020970911135117,"Cd36/Gucy1a1/Gucy1b1/Thbs1",4,"BP"
"GO:0045765","regulation of angiogenesis","14/272","320/28832",0.04375,4.6375,6.38556534498961,2.46751073858902e-06,0.000293588337242009,0.00020970911135117,"Akt3/Apoh/C3/Cd36/Ecm1/Emp2/Hmgb1/Lgals3/Nras/Pf4/Ptgis/Rhoj/Rock1/Thbs1",14,"BP"
"GO:0032970","regulation of actin filament-based process","16/272","416/28832",0.0384615384615385,4.07692307692308,6.16903218154664,2.51863028803554e-06,0.000293588337242009,0.00020970911135117,"Abi2/Arhgap18/Atp2a1/Capza1/Capza2/Cav1/Cdc42ep2/Cfl1/Coro2b/F11r/Myadm/Pam/Prkcd/Rock1/Sri/Tpm1",16,"BP"
"GO:0015980","energy derivation by oxidation of organic compounds","15/272","371/28832",0.0404312668463612,4.28571428571428,6.21622716205152,2.84346090143094e-06,0.000310206183264578,0.000221579180015004,"Akt1/Akt2/Cox6b1/Cyc1/Gaa/Hmgb1/Mtch2/Ndufab1/Ndufb1/Ndufb4/Ndufb6/Ndufb7/Ptges3/Pygm/S100b",15,"BP"
"GO:0039532","negative regulation of cytoplasmic pattern recognition receptor signaling pathway","7/272","66/28832",0.106060606060606,11.2424242424242,8.12961901981191,2.98163394090217e-06,0.000310206183264578,0.000221579180015004,"Akt1/Banf1/C1qbp/Csnk1a1/Erbin/Lamp2/Ppt1",7,"BP"
"GO:1905952","regulation of lipid localization","11/272","197/28832",0.0558375634517767,5.91878172588833,6.76047597507296,2.99638534052878e-06,0.000310206183264578,0.000221579180015004,"Abca8a/Akt1/Akt2/C3/Cav1/Cd36/Ces1c/Lpcat3/Nucb2/Prkcd/Thbs1",11,"BP"
"GO:1901342","regulation of vasculature development","14/272","327/28832",0.0428134556574924,4.53822629969419,6.27963156015773,3.17054944503654e-06,0.000310206183264578,0.000221579180015004,"Akt3/Apoh/C3/Cd36/Ecm1/Emp2/Hmgb1/Lgals3/Nras/Pf4/Ptgis/Rhoj/Rock1/Thbs1",14,"BP"
"GO:0031589","cell-substrate adhesion","15/272","376/28832",0.0398936170212766,4.22872340425532,6.14997062935555,3.34619075464921e-06,0.000310206183264578,0.000221579180015004,"Apod/C1qbp/Cd36/Cfl1/Coro1c/Coro2b/Dnm2/Dusp3/Efemp2/Emp2/Fga/Myadm/Ptk2/Rock1/Thbs1",15,"BP"
"GO:0007160","cell-matrix adhesion","12/272","240/28832",0.05,5.3,6.5281032149667,3.35218751842419e-06,0.000310206183264578,0.000221579180015004,"Apod/Cd36/Cfl1/Coro1c/Coro2b/Dusp3/Efemp2/Emp2/Fga/Ptk2/Rock1/Thbs1",12,"BP"
"GO:0034976","response to endoplasmic reticulum stress","13/272","284/28832",0.0457746478873239,4.85211267605634,6.36656989695603,3.46155345394467e-06,0.000310206183264578,0.000221579180015004,"Akt1/Akt2/Akt3/Atp2a1/Cav1/Erlin2/Lpcat3/Rcn3/Serinc3/Thbs1/Tor1a/Ubxn6/Ufc1",13,"BP"
"GO:0009165","nucleotide biosynthetic process","12/272","241/28832",0.0497925311203319,5.27800829875519,6.50834662473941,3.49863837977786e-06,0.000310206183264578,0.000221579180015004,"Adss1/Aldoa/Flad1/Gucy1a1/Gucy1b1/Nadk2/Ndufab1/Ndufb1/Ndufb4/Ndufb6/Ndufb7/Nme2",12,"BP"
"GO:0015911","long-chain fatty acid import across plasma membrane","4/272","12/28832",0.333333333333333,35.3333333333333,11.6089999222777,3.61360406176977e-06,0.000310206183264578,0.000221579180015004,"Akt1/Akt2/Cd36/Thbs1",4,"BP"
"GO:0002753","cytoplasmic pattern recognition receptor signaling pathway","11/272","201/28832",0.054726368159204,5.80099502487562,6.6657071521648,3.63696125646203e-06,0.000310206183264578,0.000221579180015004,"Akt1/Banf1/C1qbp/Cav1/Cd36/Csnk1a1/Erbin/Hmgb1/Lamp2/Ppt1/Tab1",11,"BP"
"GO:0006164","purine nucleotide biosynthetic process","11/272","201/28832",0.054726368159204,5.80099502487562,6.6657071521648,3.63696125646203e-06,0.000310206183264578,0.000221579180015004,"Adss1/Aldoa/Gucy1a1/Gucy1b1/Nadk2/Ndufab1/Ndufb1/Ndufb4/Ndufb6/Ndufb7/Nme2",11,"BP"
"GO:0009152","purine ribonucleotide biosynthetic process","10/272","165/28832",0.0606060606060606,6.42424242424242,6.8190699194163,4.09681851557245e-06,0.000341108913070401,0.000243652890662993,"Adss1/Aldoa/Gucy1a1/Gucy1b1/Ndufab1/Ndufb1/Ndufb4/Ndufb6/Ndufb7/Nme2",10,"BP"
"GO:0061045","negative regulation of wound healing","7/272","71/28832",0.0985915492957746,10.4507042253521,7.7808413153268,4.89129137836306e-06,0.000389909709785004,0.000278511127227793,"Apoh/Cd9/Fga/Kng2/Prkcd/Thbs1/Tspan8",7,"BP"
"GO:0046716","muscle cell cellular homeostasis","5/272","27/28832",0.185185185185185,19.6296296296296,9.45120899211815,4.90592714627971e-06,0.000389909709785004,0.000278511127227793,"Aldoa/Cav1/Gaa/Lamp2/Sod1",5,"BP"
"GO:0016226","iron-sulfur cluster assembly","5/272","29/28832",0.172413793103448,18.2758620689655,9.0835386457805,7.10620557042198e-06,0.000540226106081863,0.000385881597679894,"Bola2/Isca2/Ndufab1/Nfu1/Nubpl",5,"BP"
"GO:0031163","metallo-sulfur cluster assembly","5/272","29/28832",0.172413793103448,18.2758620689655,9.0835386457805,7.10620557042198e-06,0.000540226106081863,0.000385881597679894,"Bola2/Isca2/Ndufab1/Nfu1/Nubpl",5,"BP"
"GO:0045428","regulation of nitric oxide biosynthetic process","7/272","77/28832",0.0909090909090909,9.63636363636364,7.40550705931343,8.42925022480691e-06,0.000616487517923304,0.000440354854546604,"Akt1/Akt2/Cav1/Cd36/Dnm2/Gla/Ptgis",7,"BP"
"GO:0045932","negative regulation of muscle contraction","5/272","30/28832",0.166666666666667,17.6666666666667,8.91319191095291,8.46193905070592e-06,0.000616487517923304,0.000440354854546604,"Atp2a1/Calca/Gucy1a1/Sod1/Sri",5,"BP"
"GO:0050900","leukocyte migration","15/272","408/28832",0.0367647058823529,3.89705882352941,5.75148512975598,8.91351166009296e-06,0.000623411005506902,0.000445300277250539,"Akt1/Apod/C1qbp/Cd9/Ecm1/Emp2/F11r/Hmgb1/Lgals3/Pf4/Podxl/Ptk2/Rock1/Rps19/Thbs1",15,"BP"
"GO:1990778","protein localization to cell periphery","15/272","408/28832",0.0367647058823529,3.89705882352941,5.75148512975598,8.91351166009296e-06,0.000623411005506902,0.000445300277250539,"Akt1/Akt2/Arl3/Atp6ap1/Camk2a/Cdh2/Emp2/F11r/Lgals3/Myadm/Mylk/Rock1/Stx8/Vamp2/Vamp8",15,"BP"
"GO:0045109","intermediate filament organization","7/272","78/28832",0.0897435897435897,9.51282051282051,7.34694599228657,9.18635863292715e-06,0.000624774403314489,0.000446274147484395,"Des/Krt14/Krt17/Krt6a/Krt76/Krt78/Krt79",7,"BP"
"GO:0009260","ribonucleotide biosynthetic process","10/272","181/28832",0.0552486187845304,5.85635359116022,6.39609490000335,9.29032569984371e-06,0.000624774403314489,0.000446274147484395,"Adss1/Aldoa/Gucy1a1/Gucy1b1/Ndufab1/Ndufb1/Ndufb4/Ndufb6/Ndufb7/Nme2",10,"BP"
"GO:0010811","positive regulation of cell-substrate adhesion","9/272","144/28832",0.0625,6.625,6.60372288137174,9.72364569486401e-06,0.000641577150847914,0.00045827629064374,"C1qbp/Cd36/Cfl1/Dnm2/Efemp2/Emp2/Myadm/Rock1/Thbs1",9,"BP"
"GO:0080164","regulation of nitric oxide metabolic process","7/272","80/28832",0.0875,9.275,7.23292846022184,1.08703292907852e-05,0.000703954472775478,0.000502832191170239,"Akt1/Akt2/Cav1/Cd36/Dnm2/Gla/Ptgis",7,"BP"
