protein,XIC S03,XIC S03bis,XIC S04,XIC S05,XIC S06,XIC S06bis,XIC S07,XIC S07bis,XIC S08,XIC S09,XIC S10,XIC S11,XIC S11bis,XIC S12,XIC S12bis,XIC S13,XIC S14,XIC S15
DNM2,0.601115227,0.827186584,1.232728958,1.465520859,1.156324387,1.352365494,0.716339111,1.030234337,1.190958023,1.548440933,1.38522625,2.972769737,3.00434494,2.704621315,2.152993202,1.116945267,2.86151886,3.035697937
COL6A6,-1.305850029,-1.043119431,-0.956941605,-1.149974823,-2.574117661,-2.473457336,-1.920875549,-2.010090828,-1.922300339,-1.212709427,-2.028674126,-1.485592842,-1.707893372,-1.576441765,-1.510243416,-1.781702042,-2.217308044,-1.471387863
ANK1,-0.775927544,-0.7648983,-1.535074234,-0.743757248,-0.368524551,-0.384620667,0.0854702,0.199643135,-0.903078079,-0.765619278,-0.512616158,-0.67245388,-0.777902603,-0.78819561,-0.817345619,-0.225322723,-0.541126251,-0.46105957
JCHAIN,-2.274283409,-2.281270981,-2.260904312,-2.185552597,-2.056610107,-1.384202957,-1.604417801,-1.714280128,-1.256103516,-1.395717621,-1.865782738,-2.020380974,-3.520917654,-3.974696159,-2.910681725,-1.008533478,-3.162887573,-2.379220963
NEFL,9.82388401,9.509616852,9.616470337,9.504589081,9.425888062,9.578868866,9.374700546,8.82039547,9.405122757,9.61648941,9.596865654,9.351151466,9.482643127,9.252797127,9.15012455,9.51234436,9.318811417,9.902791977
RAB35,2.006995201,3.066581726,2.352685928,1.897817612,2.287820816,2.372657776,1.18340683,1.781535149,2.383756638,2.913042068,1.893759727,2.302966118,1.882034302,2.12634182,2.350241661,2.476560593,2.763439178,2.395622253
BIN1,0.894156456,1.762153625,0.543380737,1.601985931,1.839805603,1.585367203,2.58757019,2.351241112,1.109714508,0.461975098,1.551386833,1.619360924,1.54458046,1.484200478,1.610033989,1.01112175,1.505516052,1.894094467
MTM1,-1.145915031,-0.683250427,-1.381406784,-0.948871613,-1.449375153,-0.835214615,-0.616029739,-0.011851311,-1.051876068,-0.686903,-0.709151268,-1.083231926,-0.871232986,-0.843913078,-0.681771278,-1.002334595,-0.585958481,-0.877674103
DEPTOR,-0.688570976,-0.3794384,-0.13996315,-0.233514786,-0.096755981,-0.004360199,-0.356348038,-0.026387215,-0.26036644,-0.305669785,-0.148341179,-0.457541466,-0.517349243,-0.085436821,-0.439261436,-0.051605225,-0.37556839,-0.082838058
MTOR,-0.505366325,-0.387479782,0.006544113,-0.646286011,-0.344814301,-0.476949692,-0.623407364,-0.582068443,-0.618749619,-1.714136124,-0.511073112,-0.295165062,-0.491552353,-0.753268242,-0.555743217,-0.755126953,-0.829463959,-0.320804596
DLG1,0.425744057,0.35575676,0.320079803,0.206048965,0.438041687,0.371601105,0.415061951,0.013030052,0.115409851,0.485675812,0.372185707,0.536789894,0.313318253,0.417302132,0.340683937,0.190168381,0.27110672,0.578353882
MBP,9.536011696,11.15351868,10.17937469,11.22608948,10.37126732,11.35613441,10.56479454,10.98174191,10.32519341,10.64261627,11.17495632,12.90887737,11.05172348,9.96949482,10.9684782,11.26389313,11.63105011,11.39657593
VIT,-2.286013603,-2.523572922,-3.51176548,-2.353473663,-3.9840765,-3.04158926,-3.49121213,-3.004533529,-4.014031887,-2.503944397,-4.138887882,-1.429848671,-2.282733917,-2.993117332,-2.29163456,-2.73544693,-2.13053894,-1.925157547
COL6A5,2.082495689,2.040616989,2.072429657,2.285478592,1.647201538,1.400308609,1.120368958,0.70518589,1.754781723,1.795219421,1.889927864,2.34432888,2.142477036,1.977200508,1.605156898,1.641016006,1.727918625,2.678979874
RPTOR,-3.243166685,0.101503372,-4.487699032,-0.817911148,-1.1537323,-0.514532089,-0.994157791,-0.577061653,-4.33973074,-3.302253246,-0.374062538,-1.438878059,-0.739011765,-0.890704155,-0.694630623,-3.38051486,-3.34932971,-0.518482208
AKT1S1,-3.784459114,-1.231239319,-4.10605669,-0.822381973,-3.314246178,-4.351857185,-4.769605637,-3.218667984,-2.177793503,-3.222985983,-1.328381538,-1.321417809,-0.763624191,-0.997862816,-3.121534109,-2.03576088,-2.376251221,-2.176380157
RHOA,1.564137459,1.123117447,1.112699509,1.474594116,1.493774414,0.569440842,1.435817719,1.07064724,1.831911087,1.018882751,1.565777779,1.980654716,1.38835144,1.546578407,1.43231678,1.813884735,2.021335602,1.878202438
MTMR2,-0.324072838,0.530513763,-1.992807388,0.586397171,-3.873163939,-3.19156456,-4.39541626,-3.364625216,-4.250196934,-3.801123619,-4.380203724,-3.545567274,-4.061612606,-3.148207664,-2.904606819,-3.748505116,-2.639212608,-4.556139469
RPS6,2.938229561,2.419618607,3.46423912,2.554454803,2.316354752,2.263685226,2.461242676,2.334715843,2.377353668,3.093900681,2.262879372,2.407940865,2.295770645,2.432082176,2.593495369,2.494161606,2.739938736,2.067836761
EEF2K,-0.425936699,-3.372077942,-3.76235652,-1.968633652,-4.272544861,-2.700814247,-4.4453125,-3.692003489,-3.635343313,-3.185295105,-4.248871326,-4.571825504,-3.376785278,-3.093840599,-2.973283768,-3.641331911,-3.227443218,-4.701953888
RHEB,-0.498267174,-0.047550201,-0.962749481,-0.256969452,-0.716117859,-0.191474915,-1.008779526,-2.987202406,-0.095932007,-4.261620522,-3.683258295,0.077399254,-4.097949505,-0.050635338,-0.254002571,-0.790548325,-0.318702698,-3.246227264
ASPN,5.211127281,5.253353119,5.299610138,4.826105118,3.728725433,3.966424942,4.171649933,4.611355782,4.999610901,5.233867645,4.567141533,4.979182243,4.933784485,4.795294762,5.139388084,5.319129944,5.010364532,4.772699356
MFAP4,-0.067942619,-3.475826502,-0.437454224,0.578121185,0.070964813,0.687393188,0.303113937,0.541460991,0.969419479,0.282585144,0.083695412,2.68805027,1.250120163,1.376311302,1.882311821,0.822921753,0.700284958,0.762809753
MFGE8,-4.435122013,-2.541667938,-4.166727543,-1.695142746,-3.042070389,-2.661100388,-3.701181412,-3.282467604,-0.726125717,-3.365923882,-2.054703712,-2.13604641,-2.032165527,-1.256930351,-1.108304024,-1.322240829,-2.122724533,-2.033258438
AGT,-0.129065514,-0.365852356,0.7455616,0.068243027,-0.260696411,-0.322629929,-0.535045624,-1.012799263,0.042137146,-0.919448853,-0.938479424,-0.089138985,-0.397106171,-0.080658913,-0.224593163,0.099573135,-0.884199142,-0.88025856
FAP,-1.054139137,-0.304531097,-0.111963272,-0.725683212,-1.19434166,-1.012840271,-0.829141617,-1.316100121,-1.546943665,-1.797119141,-1.201828957,-0.822100639,-1.008234024,-0.796334267,-0.686203957,-2.375995636,-0.135095596,-1.321811676
GAS6,-1.793299675,-1.739517212,-1.591358185,-1.137334824,-1.590335846,-2.496128082,-3.380617142,-3.620374203,-2.089662552,-2.222858429,-3.230269194,-2.071358681,-2.198900223,-1.688662529,-1.436972618,-2.114278793,-3.226543188,-1.921916962
UMOD,-5.250042439,-3.632753372,-3.808033705,-3.290697575,-1.114431381,-0.72486496,1.194137573,0.054440498,-3.610316038,-2.715200424,-3.79862237,-4.137372971,-2.477298498,-2.926805258,-5.530774593,-4.235826492,-2.834916353,-4.043021679
CD74,-3.608391523,-2.835292816,-2.475908279,-1.329071045,-1.745330811,-3.661010504,-3.407833338,-2.4846735,-3.706933022,-2.634580612,-2.894257545,-2.140625954,-1.965547562,-2.095534325,-2.161410332,-2.40500164,-1.047502518,-2.873268127
IGHA,1.043532372,1.232276917,0.297559738,1.799167633,0.807695389,0.891540527,1.932561874,2.083788872,1.687685013,1.491518021,0.492873192,0.280610085,0.472082138,0.369076729,0.747181892,1.395664215,0.808776855,0.212949753
IGHG3,2.151652336,1.873685837,1.397886276,3.958669662,1.43957901,0.984369278,0.487764359,-0.173213005,1.113445282,1.966876984,1.913567543,1.701901436,1.665178299,1.251469612,1.640229225,2.159852982,2.889741898,2.291938782
IGHM,1.303952217,1.453411102,1.360696793,2.201349258,2.520740509,2.294157028,1.680400848,1.552138329,1.116043091,1.469974518,1.712721825,1.613625526,1.550468445,1.292881966,1.194252968,1.289268494,1.044864655,0.590816498
IGHV1-47,-2.244999886,-1.904214859,-3.850168228,-4.065317631,-3.708323479,-3.351913929,1.37534523,1.535618782,-2.356908798,-2.3991642,-2.692849159,-3.924222708,-3.321806908,-4.003554821,-3.26941967,-3.368595123,-3.383686066,-3.261083603
IGHV1-5,-3.316037178,-2.97514534,-0.625591278,-1.878631592,-1.276920319,-1.234697342,-4.289049149,-2.854889154,-2.938353539,-0.67124939,0.323307991,-4.775629997,-3.349525452,-3.015481472,-3.694699526,-2.740936279,-3.975449324,-2.50094986
IGHV4-1,-2.361775398,-2.210420609,-1.135261536,-1.493654251,-3.038801193,-3.802465439,-2.649589539,-3.080044746,-2.953853607,-1.474365234,-0.773331642,-1.234406471,-1.319946289,-0.571879387,-0.646912575,-1.025119781,-1.983196259,-3.073026657
EXOC4,-2.067015648,-2.343914032,-2.098327637,1.396432877,0.080686569,1.89320755,-0.913631439,0.85863781,0.61753273,1.020170212,1.589852333,0.175244331,-0.917444229,-0.240391731,1.315749168,1.438579559,-1.470623016,1.337718964
SYN2,-3.087333441,-0.581867218,-3.392022133,-0.008649826,-0.125923157,0.345180511,-0.40709877,0.006579399,-0.803281784,1.048532486,0.298405647,-0.226082802,0.270353317,0.3862257,0.401515007,-1.866495132,0.221654892,0.269191742
PEF1,-3.349071026,-0.942951202,-2.836076021,-0.780063629,0.002750397,-0.127830505,-0.053701401,-0.434790611,-0.892366409,-1.777511597,-0.012097359,-0.057356834,-0.440660477,0.050486565,0.153050423,-1.255908966,-0.203491211,-0.096572876
MADD,-4.301102638,-4.306119919,-3.883460045,-3.054891586,-2.598205566,-2.311918259,-2.902328491,-2.721701622,-3.175228119,-3.582881212,-2.971043587,-3.325384378,-2.674566269,-2.933804512,-2.802044868,-4.54375124,-3.102005005,-2.733823776
ITPR1,-4.118420124,-2.289802551,-3.371000528,-3.967212677,-1.913896561,-3.233341217,-2.419420242,-2.536074638,-2.284475327,-2.050296307,-2.989305973,-3.40681982,-3.523779869,-4.123173714,-2.367884636,-4.485957623,-4.567469597,-3.689811468
C1QTNF5,-1.220387459,-1.036773682,-0.651988983,-1.621583939,-2.910852432,-1.981946945,-3.464329958,-1.726908684,-1.916725159,-1.326511383,-1.492840767,-3.114354134,-1.582080841,-2.890767097,-1.53142643,-1.282995224,-4.808311462,-1.084047318
MTMR2 ,-0.324072838,0.530513763,-1.992807388,0.586397171,-3.873163939,-3.19156456,-4.39541626,-3.364625216,-4.250196934,-3.801123619,-4.380203724,-3.545567274,-4.061612606,-3.148207664,-2.904606819,-3.748505116,-2.639212608,-4.556139469
MTMR5,-1.724246025,-1.930727005,-1.629297256,0.124622345,-1.358917236,-3.513187408,-1.543607712,-3.417994499,-3.038555145,-2.373819351,-0.33525753,-1.917090416,-2.538383484,-3.154368877,-2.185578346,-3.333511353,-2.545713425,-2.997329712
MTMR13,1.645869255,1.964969635,1.294692993,1.743022919,-0.73746109,-0.530185699,-1.079784393,-1.407242775,-1.91865921,-1.360269547,-1.036641121,-0.878651619,-1.138559341,-1.140885353,-0.702319145,-1.439756393,-0.522937775,-1.203401566
ENPP4,-3.756840229,-3.428615332,-4.040038109,-2.282311916,0.499036789,0.363939285,1.047340393,-0.591671944,1.00995636,0.221464157,-3.117794037,-3.067123652,-4.160462379,0.435389519,-0.313122749,0.467840195,-1.970588684,-1.109973907
PTK2,-3.427848101,-1.268218994,-4.576832294,-0.693082809,-0.474514008,-0.724111557,-1.176403046,-0.767079353,-0.673757553,-0.771663666,-0.597605705,-0.740900993,-0.434167862,-0.609559059,-0.831166267,-0.458036423,-0.826379776,-0.617401123
PF4,-3.031538248,-3.683967113,-3.094108582,-2.591146469,-2.470142365,-1.204212189,-0.606481552,-0.948685646,-1.325349808,-3.96926403,-1.274096489,-2.333926201,-0.564874649,-0.612709999,-1.00197506,-2.064489365,-2.00859642,-0.616744995
KNG2,-0.732445717,-0.965560913,-0.86359024,-1.163768768,-1.847322464,-1.569980621,-1.280122757,-1.341385841,-1.709983826,-1.529720306,-1.254050255,-1.884070396,-1.696470261,-1.390183449,-0.948912621,-1.393583298,-1.01525116,-1.870433807
SERPING1,0.798230171,1.668706894,2.048288345,1.357988358,0.86366272,0.838905334,0.725704193,0.776122093,1.003414154,0.692436218,0.872471809,0.865166664,1.09589386,0.939894676,0.872601509,1.294078827,1.065563202,0.975252151
F11R,0.615809441,0.949840546,0.600343704,0.527006149,0.008337021,0.148086548,-0.49442482,-0.03050518,0.371879578,0.428224564,-0.245013237,-0.096837044,-0.096235275,0.171694756,0.184624672,0.351680756,0.133005142,0.040773392
HGFAC,-1.973450661,-1.901821136,-1.563159943,-2.082330704,-2.395065308,-2.549962997,-2.702770233,-2.890526772,-2.550317764,-2.397226334,-2.295847893,-2.827887535,-2.838592529,-1.893065453,-2.182225227,-2.510873795,-2.747005463,-2.677545547
PRRG3,-3.088778496,-2.908269882,-2.300405502,-2.720384598,-3.636321783,-4.378839016,-3.37016058,-3.342841625,-3.213316917,-3.236246109,-3.023503304,-4.904608727,-4.050823212,-4.162512302,-3.237301826,-3.126350403,-3.19195056,-2.731767654
FGA,2.860575676,2.974508286,3.2727108,3.115016937,2.146528244,2.153833389,2.312917709,2.516539574,2.617511749,2.239229202,2.4619627,2.400536537,2.395606995,2.700186729,2.803624153,2.413829803,2.363945007,2.078144073
GLA,-2.506230354,-3.039625168,-2.483913422,-3.342227936,-3.488746166,-4.806464195,-3.171874762,-4.074205399,-4.062799454,-3.225761414,-3.568335533,-3.440887451,-3.496421814,-3.268231392,-3.704885006,-3.2554245,-3.4026196,-3.483258009
GSDME,-1.679560661,-3.108133316,-5.219762802,-3.958583117,-1.775842667,-1.920764923,-2.243766785,-1.635525703,-1.740095139,-1.649581909,-1.168562889,-1.874072075,-1.651639938,-1.870141029,-1.826067924,-1.172472,-4.680182934,-1.629570007
BIRC6,-4.625296116,-2.18437767,-4.73166275,-2.419692993,-2.51773262,-1.5141716,-2.245763779,-2.302130699,-3.032484055,-1.948036075,-2.066521645,-2.776900291,-2.400482178,-2.168433189,-2.382063866,-4.022558212,-2.301088333,-2.068805695
GHITM,-2.120280266,-4.126259804,-2.460033417,-0.936607361,-1.110824585,-1.110969543,-1.236185074,-1.27222538,-1.277008057,-1.457906723,-1.072361946,-1.67189312,-1.018583298,-0.540442467,-1.084305763,-1.35244751,-0.917394638,-1.0533638
MADD,-4.301102638,-4.306119919,-3.883460045,-3.054891586,-2.598205566,-2.311918259,-2.902328491,-2.721701622,-3.175228119,-3.582881212,-2.971043587,-3.325384378,-2.674566269,-2.933804512,-2.802044868,-4.54375124,-3.102005005,-2.733823776
SOD1,5.872580528,6.765014648,5.835853577,6.17417717,7.260704041,7.251529694,7.079957962,7.104493141,6.848365784,5.979751587,7.006691933,7.047314644,6.979938507,7.082921028,6.833706856,6.563461304,5.969741821,7.177019119
AGT,-0.129065514,-0.365852356,0.7455616,0.068243027,-0.260696411,-0.322629929,-0.535045624,-1.012799263,0.042137146,-0.919448853,-0.938479424,-0.089138985,-0.397106171,-0.080658913,-0.224593163,0.099573135,-0.884199142,-0.88025856
CCAR2,-2.082783699,-1.911628723,-1.995134354,-1.85802269,-4.043021202,-2.000120163,-2.951745987,-2.456954002,-2.644018173,-3.836677551,-2.373084068,-2.908427238,-1.815536499,-1.68181324,-1.947899818,-2.509632111,-1.996574402,-2.415117264
CRELD1,-0.563620567,-3.044190884,-0.602624893,-1.04611969,0.043006897,-0.122810364,0.193552017,-0.3582201,0.15162468,-0.505434036,-0.698941231,-0.519473076,-0.157661438,0.252718925,-0.624646187,-0.494729996,-0.152780533,-0.232578278
FBN1,3.951880455,3.977363586,3.784101486,3.639837265,3.27123642,3.214790344,2.88004303,3.149996758,3.444711685,3.474765778,3.49112606,3.260560036,3.235403061,3.048407555,2.990578651,3.700181961,3.139026642,2.834117889
