Accession,Protein Name,Description,Gene Name,XIC S03,XIC S03bis,XIC S04,XIC S05,XIC S06,XIC S06bis,XIC S07,XIC S07bis,XIC S08,XIC S09,XIC S10,XIC S11,XIC S11bis,XIC S12,XIC S12bis,XIC S13,XIC S14,XIC S15
B8JJ69,B8JJ69_MOUSE,RIKEN cDNA 2310061I04 gene OS=Mus musculus OX=10090 ,2310061I04Rik,,,,,,,505706,172159,,,249886,,165579,,,,387375,258251
Q3TE80,Q3TE80_MOUSE,RIKEN cDNA 2410002F23 gene OS=Mus musculus OX=10090 ,2410002F23Rik,,,,,88399,187907,296779,257083,,,141338,,214663,144388,90106,,,223463
Q19LI2,A1BG_MOUSE,Alpha-1B-glycoprotein OS=Mus musculus OX=10090 ,A1bg,5204980,4631930,48388300,30757100,32711600,38988000,3670550,3850890,,,43661100,27547000,27129900,13028100,12083800,,14259100,
Q6GQT1,A2MG_MOUSE,Alpha-2-macroglobulin-P OS=Mus musculus OX=10090 ,A2m,1071800,900180,945217,1358360,,886034,1624260,1098150,1909200,2097280,1604210,823341,1031650,843201,869027,1448630,2591600,1590200
A2AS37,A2AS37_MOUSE,Expressed sequence AI182371 OS=Mus musculus OX=10090 ,AI182371,886272,869621,972624,880892,,330449,596203,944450,717250,1378570,586370,,376226,371628,636863,1057380,605142,667451
Q8BGF0,Q8BGF0_MOUSE,Expressed sequence AW551984 OS=Mus musculus OX=10090 ,AW551984,2445890,4989600,5977540,4602950,2238620,5149270,,2251990,2826310,3424970,,4640090,5267480,3124370,2320990,3041060,3527200,1435360
P58742,AAAS_MOUSE,Aladin OS=Mus musculus OX=10090 ,Aaas,,,948217,,,,,,489427,,,,,,,,,
Q9D2R0,AACS_MOUSE,Acetoacetyl-CoA synthetase OS=Mus musculus OX=10090 ,Aacs,10554800,12530200,8449500,8014830,10753400,9770120,10606700,9366120,7502670,11588500,8280640,10578700,9469350,12043300,12758700,6402570,8249130,10259200
Q3UHJ0,AAK1_MOUSE,AP2-associated protein kinase 1 OS=Mus musculus OX=10090 ,Aak1,8860150,10029000,9140410,9434300,10717000,10253100,8444370,8948550,8802260,9108650,9724200,9969890,9468640,9375630,9178050,8146380,7626170,10121300
Q8R0P4,AAMDC_MOUSE,Mth938 domain-containing protein OS=Mus musculus OX=10090 ,Aamdc,15611400,19759400,19493800,22856300,20486900,22543100,20400700,20728400,21165800,17532400,19850300,19082000,19562100,20598500,18639600,22506100,19117000,18283700
Q8BGQ7,SYAC_MOUSE,"Alanine--tRNA ligase, cytoplasmic OS=Mus musculus OX=10090 ",Aars1,23797200,24967300,27905100,30847900,23223400,27896800,23631900,23755900,22318500,24593900,24733600,21964100,23321800,21216000,21264200,24912300,34226300,26701900
Q3THG9,AASD1_MOUSE,Alanyl-tRNA editing protein Aarsd1 OS=Mus musculus OX=10090 ,Aarsd1,4245430,5034460,6563010,6181470,4527700,5669400,9039660,5018290,3794900,4765900,3442830,4052410,4483190,4564330,4212010,4728400,3854470,7670690
Q99K67,AASS_MOUSE,"Alpha-aminoadipic semialdehyde synthase, mitochondrial OS=Mus musculus OX=10090 ",Aass,,,,,,,2421720,3858150,,,,,,,,,,2030120
Q80YE4,LMTK1_MOUSE,Serine/threonine-protein kinase LMTK1 OS=Mus musculus OX=10090 ,Aatk,1708940,1752390,1443090,1958290,1991960,1956890,1842620,1404970,1682220,1477740,2243480,2215690,1801550,1604660,1537920,1353880,1996900,2005310
P61922,GABT_MOUSE,"4-aminobutyrate aminotransferase, mitochondrial OS=Mus musculus OX=10090 ",Abat,23368700,18615300,22862700,21978500,18448100,19372900,17435100,16674100,19942300,18464500,16708100,17634200,18773600,20807100,20040700,19459300,19438600,21273000
Q8R420,ABCA3_MOUSE,Phospholipid-transporting ATPase ABCA3 OS=Mus musculus OX=10090 ,Abca3,2242730,,3148950,,,,,,,2417720,,1476330,,,,2197730,1870780,
Q8K441,ABCA6_MOUSE,ATP-binding cassette sub-family A member 6 OS=Mus musculus OX=10090 ,Abca6,2202650,2954060,,2400890,2668590,2681340,2550670,1736690,3079980,4489980,3001260,2808480,3168830,3347100,3284880,3128200,2703510,3347440
Q91V24,ABCA7_MOUSE,ATP-binding cassette sub-family A member 7 OS=Mus musculus OX=10090 ,Abca7,878106,755486,1012580,611328,867885,997388,,,,,1096580,872550,610179,777189,1094280,,,1321220
Q8K442,ABC8A_MOUSE,ABC-type organic anion transporter ABCA8A OS=Mus musculus OX=10090 ,Abca8a,,1528350,,1339400,,998893,,1694180,1612290,,1660920,1526450,1800070,1251430,1451860,1829460,1412710,1871500
Q8K440,ABC8B_MOUSE,ABC-type organic anion transporter ABCA8B OS=Mus musculus OX=10090 ,Abca8b,3210960,3854210,3226840,2949440,3589060,4333550,3912250,3487520,3457530,4322260,3944180,3366510,3647550,3809760,3918480,3354090,3711140,3433750
Q8K449,ABCA9_MOUSE,ATP-binding cassette sub-family A member 9 OS=Mus musculus OX=10090 ,Abca9,1572580,3209470,,4179160,3075860,3509840,2874540,3745950,2354230,3276110,3667790,3352480,3492150,3415650,3965960,2572150,3778480,3086600
Q9JI39,ABCBA_MOUSE,"ATP-binding cassette sub-family B member 10, mitochondrial OS=Mus musculus OX=10090 ",Abcb10,1913270,1894740,,2180870,1797350,1701840,,3268910,,1598500,1846890,1979500,1452610,2094290,1852050,,1022280,
Q9QY30,ABCBB_MOUSE,Bile salt export pump OS=Mus musculus OX=10090 ,Abcb11,,,,2062920,1909740,,1281540,,,,,,1638420,1651130,1340790,,3273040,
P21447,MDR1A_MOUSE,ATP-dependent translocase ABCB1 OS=Mus musculus OX=10090 ,Abcb1a,2596270,4083170,2910950,6654230,3147740,,,3053940,2553270,3667440,2451700,2590070,2772830,2887390,3452660,,5434910,3363000
Q9DC29,ABCB6_MOUSE,ATP-binding cassette sub-family B member 6 OS=Mus musculus OX=10090 ,Abcb6,,,298288,300077,,,,381956,,273593,338568,,452496,,455287,,207012,283674
Q61102,ABCB7_MOUSE,"Iron-sulfur clusters transporter ABCB7, mitochondrial OS=Mus musculus OX=10090 ",Abcb7,1207860,1836590,1006890,1401920,1906950,,3033380,3135570,1332750,1421170,891933,1854560,1244800,1416450,1484410,1322970,1507840,1003210
Q9CXJ4,MITOS_MOUSE,Mitochondrial potassium channel ATP-binding subunit OS=Mus musculus OX=10090 ,Abcb8,2077440,2002870,1758160,1211460,1630740,1809140,2776790,3600700,1571010,1760320,1477080,1319420,1802580,1774920,1790450,1109600,1804440,1161930
Q9JJ59,ABCB9_MOUSE,ABC-type oligopeptide transporter ABCB9 OS=Mus musculus OX=10090 ,Abcb9,13627300,16306300,18030600,14123300,16543700,14828500,15249100,15125100,12076300,14472600,18268400,16458300,14874000,14458800,16040900,14443700,12362900,15346200
O35379,MRP1_MOUSE,Multidrug resistance-associated protein 1 OS=Mus musculus OX=10090 ,Abcc1,5002770,,1602540,3261990,1432640,2797080,1291560,2775030,,,3484180,1690150,2433040,1885280,,,1857680,1918080
E9Q236,MRP4_MOUSE,ATP-binding cassette sub-family C member 4 OS=Mus musculus OX=10090 ,Abcc4,,429889,,423478,453001,618608,433083,534176,293279,,545283,494060,639719,497530,506081,588552,398959,530010
P48410,ABCD1_MOUSE,ATP-binding cassette sub-family D member 1 OS=Mus musculus OX=10090 ,Abcd1,1104430,1141250,,989100,,1132560,1824430,1637390,1656220,,1567160,,892515,1376440,1172700,1110220,1256210,1008960
Q61285,ABCD2_MOUSE,ATP-binding cassette sub-family D member 2 OS=Mus musculus OX=10090 ,Abcd2,2968750,3425430,4419030,4173470,3648140,3492760,2311350,3502950,2898230,3777770,825915,2736950,2506090,4704360,4423710,879203,1877990,2027950
P55096,ABCD3_MOUSE,ATP-binding cassette sub-family D member 3 OS=Mus musculus OX=10090 ,Abcd3,6986540,5850840,2802170,6832310,7779800,6698970,6606990,5325990,8181910,3125750,5586410,6553380,7523460,5278060,6125010,5574460,5336750,8767560
P61222,ABCE1_MOUSE,ATP-binding cassette sub-family E member 1 OS=Mus musculus OX=10090 ,Abce1,10952300,9305920,9513260,9308000,8978240,9501420,11578600,9864120,9878430,9496180,9601010,9847690,9515750,9821340,10276100,9787240,8453860,9475050
Q6P542,ABCF1_MOUSE,ATP-binding cassette sub-family F member 1 OS=Mus musculus OX=10090 ,Abcf1,3469700,3933970,3670140,2806290,3070810,2984270,3662670,3967740,4000390,2970980,3511740,3370380,3226200,4296370,3618460,3234400,3265710,3378130
Q99LE6,ABCF2_MOUSE,ATP-binding cassette sub-family F member 2 OS=Mus musculus OX=10090 ,Abcf2,4464610,4441050,4175100,3707240,5393440,4536040,4858200,5153560,4152420,3206580,5089420,4920380,4623000,3986540,4134550,4627310,3952430,4925670
Q8K268,ABCF3_MOUSE,ATP-binding cassette sub-family F member 3 OS=Mus musculus OX=10090 ,Abcf3,858054,1890660,1381660,3323110,1807470,1526890,2010180,2295980,1552790,2008970,9733250,1470240,1763230,3025010,2252020,1627350,2106820,4594170
Q7TMS5,ABCG2_MOUSE,Broad substrate specificity ATP-binding cassette transporter ABCG2 OS=Mus musculus OX=10090 ,Abcg2,8122150,24241500,17412000,24572000,24313000,24367700,25947400,25148700,27339100,6964080,27626800,26479700,32007600,23258300,22133400,25897200,19431100,30856900
